1.077002,13-14
1.512540,14-2
3.529650,5-14
4.203193,9-3
4.478515,8-5
6.532439,2-14
16.534390,11-7
22.981199,8-1
28.776647,14-10
29.780393,1-13
32.857742,9-5
34.153371,11-12
34.911551,12-11
35.360569,13-1
36.325801,5-1
46.821132,2-9
53.883629,10-14
60.456691,14-13
66.903409,13-6
67.763295,5-4
69.246680,13-14
73.191126,8-5
78.456628,2-7
86.171026,12-6
94.653772,5-2
95.016615,6-8
98.740729,11-3
103.196057,1-5
106.016562,8-1
106.799600,5-4
109.366284,9-10
109.740654,13-1
120.648874,13-2
128.673168,6-5
131.846266,6-14
133.274370,11-4
142.856255,14-5
146.254213,8-5
154.813264,7-9
162.349924,2-7
165.190059,3-6
167.327432,9-12
170.981735,5-8
173.237536,4-5
173.941244,10-2
175.397260,9-12
182.095135,2-5
182.271940,12-5
182.461656,10-5
186.399407,6-7
187.715831,13-2
190.775451,6-13
193.324334,5-13
195.003665,8-11
218.630503,12-1
219.501006,14-12
221.630529,8-12
222.536478,4-2
226.542402,14-9
227.835942,1-4
229.595117,2-5
235.091674,11-14
236.638261,13-8
239.908833,7-6
249.295612,4-1
249.721409,4-10
249.975769,12-5
251.015359,1-2
256.810801,8-6
260.633340,10-3
261.717517,14-6
263.325802,4-1
264.107622,12-6
266.565105,10-12
266.740123,11-2
271.520068,5-4
280.570749,5-9
292.951864,6-5
298.262124,5-2
311.124408,1-4
311.197828,5-14
312.562139,8-6
326.088513,10-5
332.059392,13-5
334.172823,5-13
345.653338,5-2
349.529051,11-4
356.342459,4-5
357.731679,7-5
358.581558,10-9
360.930529,3-2
361.517286,7-8
363.439989,5-8
376.501095,14-9
378.110817,2-4
378.148581,1-13
378.331907,10-13
379.075139,14-12
385.200340,3-11
387.002551,13-5
388.374396,5-11
388.782980,11-10
404.797045,2-4
407.003305,9-11
407.935661,14-11
408.180353,6-3
408.407780,5-7
409.146695,5-12
413.664967,1-10
414.313351,1-6
414.480359,11-4
417.178977,13-5
418.324688,6-2
442.515180,1-8
443.036860,8-13
446.050501,4-5
451.995705,3-11
454.101637,13-6
471.680426,14-3
474.278953,13-2
475.386513,10-11
477.501267,7-3
477.651531,12-8
479.838869,3-5
480.982063,12-5
489.785804,4-10
496.898345,10-6
499.659588,10-13
499.788236,5-14
500.962466,11-5
502.072808,6-14
503.005914,14-8
504.058999,13-7
512.210955,5-12
512.822169,5-10
513.032709,5-11
523.558909,14-9
526.891713,9-2
545.547452,1-3
547.610550,12-2
556.859160,5-1
561.104119,14-9
567.363081,5-8
572.824757,1-10
575.551908,3-9
575.941957,5-1
576.889514,5-4
585.169260,7-4
594.370086,9-11
604.708678,7-3
606.350124,8-12
610.629162,10-6
617.057019,5-7
621.171431,12-2
627.917272,9-12
630.920580,10-13
635.174319,5-11
639.807257,2-8
641.056790,3-10
651.302212,12-11
663.821924,6-10
664.131093,1-10
678.305125,13-2
691.362063,9-11
695.776786,2-7
695.959053,5-14
705.128393,7-9
705.674572,14-11
719.510085,13-12
723.910818,1-12
724.160376,5-7
724.892538,8-6
728.926051,3-13
732.294551,3-10
737.784031,11-2
748.279655,14-8
749.266028,6-5
749.279141,13-6
759.501934,14-10
759.554722,9-3
767.918304,5-12
768.410999,7-1
775.051237,12-10
781.162111,2-8
789.573046,13-7
792.772488,14-4
801.210688,2-5
802.111618,11-4
806.564271,11-5
808.170022,7-9
817.063271,7-5
823.004617,11-5
825.555543,9-2
828.545185,14-4
828.652177,13-14
828.791301,1-2
832.401709,10-1
835.085931,10-2
843.087560,2-10
846.834811,8-7
847.432347,5-7
849.233589,3-11
855.070417,3-9
858.031257,4-14
858.073686,2-3
865.346649,5-4
872.377507,11-1
872.733449,3-13
875.869052,14-6
877.788673,14-7
883.981809,12-8
885.472848,5-8
886.537578,7-5
889.204783,2-13
902.763274,3-12
903.163085,13-14
903.649275,10-6
907.529748,5-11
916.192985,7-6
919.066637,7-1
921.342951,13-7
929.146271,10-12
935.141190,6-11
935.418238,7-13
943.943703,13-5
944.815594,14-11
946.255489,1-5
953.497839,5-4
955.693780,2-11
962.098645,8-11
962.831342,5-1
971.126362,8-5
971.902405,3-2
972.549220,10-9
975.276113,5-11
976.929608,12-4
980.051956,5-4
989.428600,5-13
994.387161,12-11
994.409472,8-1
995.904275,9-5
999.053653,10-7
1001.719726,9-4
1006.749033,11-9
1009.397561,7-4
1009.712368,9-1
1010.838856,1-13
1018.363058,1-5
1020.128197,5-9
1025.949402,7-14
1042.968796,3-1
1046.910294,3-12
1051.427405,2-5
1055.189071,1-12
1056.692342,12-5
1066.450112,13-2
1068.967267,13-11
1078.662127,4-3
1080.121246,8-10
1088.206724,12-4
1094.389749,6-11
1098.187067,5-12
1100.521121,8-5
1101.127519,14-3
1107.024389,7-4
1108.823182,11-14
1113.163046,4-14
1113.735086,13-5
1114.079759,2-13
1114.701411,3-7
1121.323804,7-13
1122.106252,9-5
1131.393866,3-14
1133.254651,7-14
1136.686573,6-5
1138.412418,13-4
1142.291501,13-9
1142.684014,11-4
1144.744335,12-10
1155.751596,10-13
1156.543818,5-2
1160.792005,5-1
1162.374099,13-5
1163.804115,5-14
1163.897891,10-12
1163.979110,14-3
1175.913706,4-14
1182.996218,13-10
1189.456120,12-10
1196.041568,12-10
