0	6.0	0.5	40	3.0	8255368.3	2738371.1	1097547.5	329107.4	406.6	12.3	51707.7	4.8%	254649.0	23.8%	266676.3	25.0%	495566.0	46.4%	0.0	0.0%	
1	6.0	0.5	40	43.8	8075619.3	2552106.2	948113.7	183680.6	201.6	6.9	91836.8	8.6%	148550.2	13.9%	267091.7	25.0%	496180.0	46.4%	64841.9	6.1%	
2	6.0	0.5	40	55.2	6590670.3	1075751.1	948492.7	183137.6	392.1	6.9	199275.1	18.6%	104895.0	9.8%	267091.7	25.0%	495405.0	46.4%	0.0	0.0%	
3	6.0	0.5	40	51.3	7779644.9	2261930.7	935513.7	171815.1	263.5	6.4	130250.0	12.2%	162942.4	15.2%	267210.3	25.0%	495652.0	46.4%	13811.4	1.3%	
4	6.0	0.5	40	131.0	6826778.7	1313417.6	947811.8	183578.8	345.1	6.9	195013.7	18.2%	94856.4	8.9%	267091.7	25.0%	495228.0	46.3%	15565.3	1.5%	
5	6.0	0.5	40	138.9	6838424.9	1324422.7	955119.7	189792.5	343.3	7.1	200249.9	18.7%	103978.8	9.7%	267091.7	25.0%	495313.0	46.3%	1504.7	0.1%	
0	7.0	0.5	40	4.5	7453874.4	1929175.3	952931.8	188004.7	351.2	6.0	301246.7	24.2%	183566.0	14.7%	266854.3	21.4%	496266.0	39.8%	0.0	0.0%	
1	7.0	0.5	40	35.4	7414034.8	1889453.7	878911.9	114133.0	206.1	3.7	312758.8	25.1%	111269.4	8.9%	267210.3	21.4%	496276.0	39.8%	60450.6	4.8%	
2	7.0	0.5	40	40.0	6464700.7	945982.5	909538.7	146679.0	264.0	4.7	386684.2	31.0%	93652.0	7.5%	266735.6	21.4%	495713.0	39.8%	0.0	0.0%	
3	7.0	0.5	40	43.9	7221127.6	1699682.4	885833.0	122108.7	184.2	3.9	337565.1	27.1%	131459.3	10.5%	267032.3	21.4%	495970.0	39.8%	16721.4	1.3%	
4	7.0	0.5	40	97.7	6658608.3	1141067.1	908663.5	144271.0	214.6	4.6	380643.7	30.5%	89992.2	7.2%	266973.0	21.4%	495617.0	39.7%	9470.5	0.8%	
5	7.0	0.5	40	100.9	6663757.1	1146474.9	915707.4	151775.6	225.7	4.9	384785.1	30.9%	94227.5	7.6%	266795.0	21.4%	495597.0	39.7%	1042.9	0.1%	
