3.029400,9-8
6.028100,4-2
9.014500,5-4
12.028300,8-3
15.048200,5-6
18.064600,9-5
21.057000,3-8
24.055200,6-2
27.076300,10-8
30.101500,9-3
33.098400,8-9
36.072000,7-5
39.070800,1-4
42.092600,6-10
45.079900,10-5
48.073400,9-2
51.091500,8-6
54.087500,0-7
57.065100,4-9
60.065900,7-0
63.098600,5-9
66.109100,2-3
69.127200,9-2
72.142700,6-2
75.155300,10-8
78.158500,4-0
81.148200,3-5
84.142800,10-1
87.147400,6-7
90.148400,6-8
93.159600,5-10
96.168900,6-4
99.149700,6-4
102.158100,6-3
105.138300,2-6
108.174100,7-5
111.166200,0-8
114.172200,9-10
117.185200,9-10
120.174900,5-4
123.175300,7-3
126.179300,8-9
129.186600,9-6
132.176000,10-6
135.182000,4-7
138.164600,10-8
141.180600,0-6
144.196600,5-6
147.183500,9-2
150.209500,8-1
153.217500,2-8
156.216400,3-8
159.225000,1-7
162.197900,0-6
165.215700,10-5
168.251500,7-0
171.235700,6-4
174.227000,4-10
177.230100,0-10
180.247700,2-1
183.245500,2-8
186.230200,10-0
189.239800,4-1
192.243500,2-7
195.229000,3-1
198.239500,5-0
201.232600,1-10
204.204200,2-3
207.188100,8-9
210.164900,10-1
213.157300,7-10
216.156600,0-7
219.181600,9-3
222.161500,2-6
225.174100,4-1
228.173500,5-4
231.142100,6-5
234.158600,3-9
237.183700,2-6
240.183100,0-8
243.193900,3-0
246.201400,3-2
249.194000,10-3
252.200500,3-10
255.200200,6-7
258.192500,4-7
261.193900,0-2
264.194000,3-2
267.148800,7-4
270.138000,9-6
273.151300,4-7
276.181300,4-7
279.179700,0-4
282.173500,2-1
285.186500,5-6
288.184600,8-9
291.160500,5-3
294.179800,5-8
297.182000,9-8
300.155700,2-10
