3	180.0	0.0	40	179.9	1451299.7	176887.8	177495.8	17242.8	0.1	4793831.0	70.4%	17242.8	0.3%	47382.8	0.7%	112870.0	1.7%	
4	180.0	0.0	40	189.4	1450413.3	176001.4	177855.6	17602.7	0.1	4801184.3	70.5%	17355.0	0.3%	47382.8	0.7%	112870.0	1.7%	
5	180.0	0.0	40	189.5	1450413.3	176001.4	177855.6	17602.7	0.1	4801184.3	70.5%	17355.0	0.3%	47382.8	0.7%	112870.0	1.7%	
0	10.0	0.0	60	197.2	1431329.8	158127.0	175475.8	15512.4	1.6	283142.8	49.9%	15702.0	2.8%	47247.5	8.3%	112722.0	19.9%	
1	10.0	0.0	60	449.9	1437724.2	162426.4	172701.9	12539.3	1.3	284332.4	50.1%	12688.9	2.2%	47247.5	8.3%	112903.0	19.9%	
2	10.0	0.0	60	638.1	1411440.9	137670.0	177456.4	17673.0	1.9	250968.2	44.2%	13637.0	2.4%	47247.5	8.3%	112767.0	19.9%	
3	10.0	0.0	60	477.6	1443163.5	167865.7	173649.0	13456.2	1.4	280928.4	49.5%	14040.2	2.5%	47247.5	8.3%	112903.0	19.9%	
4	10.0	0.0	60	1015.2	1427527.0	156160.1	176944.0	17461.6	1.8	257516.0	45.4%	13654.2	2.4%	47247.5	8.3%	112561.0	19.8%	
5	10.0	0.0	60	1019.5	1419588.4	148221.5	176826.3	17357.7	1.8	255963.2	45.1%	13747.9	2.4%	47247.5	8.3%	112561.0	19.8%	
0	60.0	0.0	60	465.5	1395341.2	121229.4	172230.9	12115.0	0.2	2255441.3	66.2%	12115.0	0.4%	47335.2	1.4%	112824.0	3.3%	
1	60.0	0.0	60	572.4	1395403.8	121292.0	171606.2	11446.6	0.2	2340514.6	68.7%	11446.6	0.3%	47335.2	1.4%	112824.0	3.3%	
2	60.0	0.0	60	544.2	1391932.2	117820.4	172532.7	12326.0	0.2	2267620.1	66.6%	11766.0	0.3%	47389.4	1.4%	112824.0	3.3%	
3	60.0	0.0	60	574.0	1395333.8	121222.0	171627.9	11468.2	0.2	2340525.6	68.7%	11490.6	0.3%	47335.2	1.4%	112824.0	3.3%	
4	60.0	0.0	60	652.8	1391932.2	117820.4	172532.7	12326.0	0.2	2269367.4	66.6%	11766.0	0.3%	47389.4	1.4%	112824.0	3.3%	
5	60.0	0.0	60	655.4	1391932.2	117820.4	172532.7	12326.0	0.2	2269367.4	66.6%	11766.0	0.3%	47389.4	1.4%	112824.0	3.3%	
0	180.0	0.0	60	514.6	1395695.8	121283.9	172381.6	12067.0	0.1	7109648.0	69.6%	12067.0	0.1%	47442.6	0.5%	112870.0	1.1%	
1	180.0	0.0	60	541.9	1395995.8	121583.9	172324.2	12009.6	0.1	7114046.1	69.6%	12009.6	0.1%	47442.6	0.5%	112870.0	1.1%	
2	180.0	0.0	60	516.2	1394950.4	120538.6	172501.2	12186.6	0.1	7066138.5	69.2%	12011.0	0.1%	47442.6	0.5%	112870.0	1.1%	
3	180.0	0.0	60	528.3	1395995.8	121583.9	172324.2	12009.6	0.1	7114046.1	69.6%	12009.6	0.1%	47442.6	0.5%	112870.0	1.1%	
4	180.0	0.0	60	553.2	1395250.4	120838.6	172501.2	12186.6	0.1	7066139.4	69.2%	12011.0	0.1%	47442.6	0.5%	112870.0	1.1%	
5	180.0	0.0	60	551.3	1395250.4	120838.6	172501.2	12186.6	0.1	7066139.4	69.2%	12011.0	0.1%	47442.6	0.5%	112870.0	1.1%	
0	10.0	0.5	20	15.2	1542880.6	464308.3	250727.3	91301.8	9.7	1690.5	0.9%	43547.0	23.0%	46912.0	24.8%	96996.0	51.3%	
1	10.0	0.5	20	144.5	1645565.7	574356.7	226932.4	79149.7	8.4	3164.6	1.7%	35831.0	18.9%	46860.2	24.8%	96366.0	50.9%	
2	10.0	0.5	20	213.5	1412975.5	341124.5	221339.9	77317.2	8.2	13800.7	7.3%	32090.0	17.0%	46858.6	24.8%	96433.0	51.0%	
3	10.0	0.5	20	157.8	1634565.7	557897.7	227839.0	80805.6	8.5	5289.4	2.8%	39168.3	20.7%	46806.8	24.7%	96817.0	51.2%	
4	10.0	0.5	20	442.2	1531231.3	464952.3	224986.9	82762.8	8.7	12994.2	6.9%	28325.0	15.0%	46861.6	24.8%	95915.0	50.7%	
5	10.0	0.5	20	457.6	1500650.6	431718.6	223466.6	80203.1	8.5	14160.9	7.5%	31493.7	16.6%	46753.8	24.7%	96149.0	50.8%	
0	60.0	0.5	20	35.4	1330818.8	246806.5	169185.2	24454.9	0.4	938945.4	82.7%	24415.0	2.2%	47309.2	4.2%	97486.0	8.6%	
1	60.0	0.5	20	59.9	1328179.9	244167.7	167400.8	22590.1	0.4	942989.3	83.1%	22637.1	2.0%	47364.5	4.2%	97486.0	8.6%	
2	60.0	0.5	20	44.0	1308253.5	224241.3	168467.7	23696.6	0.4	943195.6	83.1%	22258.0	2.0%	47364.5	4.2%	97486.0	8.6%	
3	60.0	0.5	20	59.8	1328445.5	244433.3	167543.0	22732.3	0.4	941420.7	82.9%	22872.7	2.0%	47364.5	4.2%	97486.0	8.6%	
4	60.0	0.5	20	69.6	1311679.5	227667.3	168357.4	23546.7	0.4	940632.6	82.9%	22226.9	2.0%	47364.5	4.2%	97486.0	8.6%	
5	60.0	0.5	20	69.4	1311679.5	227667.3	168357.4	23546.7	0.4	942207.1	83.0%	22226.9	2.0%	47364.5	4.2%	97486.0	8.6%	
0	180.0	0.5	20	41.4	1294759.3	208283.2	165910.5	20890.0	0.1	3183577.7	93.5%	20890.0	0.6%	47478.0	1.4%	97677.0	2.9%	
1	180.0	0.5	20	50.3	1298747.3	212271.2	165947.5	20927.0	0.1	3159927.0	92.8%	20927.0	0.6%	47478.0	1.4%	97677.0	2.9%	
2	180.0	0.5	20	43.8	1294836.7	208360.6	166165.8	21145.3	0.1	3150156.8	92.5%	20892.0	0.6%	47478.0	1.4%	97677.0	2.9%	
3	180.0	0.5	20	50.2	1298747.3	212271.2	165947.5	20927.0	0.1	3159927.0	92.8%	20927.0	0.6%	47478.0	1.4%	97677.0	2.9%	
4	180.0	0.5	20	52.3	1295906.7	209430.6	166174.9	21154.4	0.1	3150114.8	92.5%	20934.0	0.6%	47478.0	1.4%	97677.0	2.9%	
5	180.0	0.5	20	52.3	1295906.7	209430.6	166174.9	21154.4	0.1	3150114.8	92.5%	20934.0	0.6%	47478.0	1.4%	97677.0	2.9%	
0	10.0	0.5	40	58.5	1245025.3	160038.5	160966.1	15835.1	1.7	212654.7	56.2%	15898.0	4.2%	47206.6	12.5%	97587.0	25.8%	
1	10.0	0.5	40	177.3	1259746.0	173850.2	158616.7	13320.9	1.4	212659.5	56.2%	13406.9	3.5%	47265.1	12.5%	97672.0	25.8%	
2	10.0	0.5	40	197.1	1210453.2	127194.3	161279.1	16631.9	1.8	214257.5	56.6%	12838.0	3.4%	47206.6	12.5%	97443.0	25.7%	
3	10.0	0.5	40	181.6	1244281.4	159345.6	158213.6	13144.1	1.4	213964.1	56.5%	13888.2	3.7%	47206.6	12.5%	97591.0	25.8%	
4	10.0	0.5	40	373.6	1227161.7	143902.9	161170.6	16540.6	1.7	214874.2	56.8%	12676.8	3.3%	47206.6	12.5%	97443.0	25.7%	
5	10.0	0.5	40	378.4	1228219.7	143733.9	161708.2	16924.7	1.8	215339.6	56.9%	13119.7	3.5%	47206.6	12.5%	97544.0	25.8%	
0	60.0	0.5	40	144.5	1175226.4	91214.2	154315.6	9408.0	0.2	2057876.6	90.6%	9455.0	0.4%	47402.0	2.1%	97486.0	4.3%	
1	60.0	0.5	40	175.3	1176589.4	92577.2	154025.9	9118.3	0.2	2066383.0	91.0%	9165.3	0.4%	47402.0	2.1%	97486.0	4.3%	
2	60.0	0.5	40	167.0	1173317.0	89304.8	154409.3	9501.7	0.2	2052595.2	90.4%	9230.0	0.4%	47402.0	2.1%	97486.0	4.3%	
3	60.0	0.5	40	174.8	1176589.4	92577.2	154025.9	9118.3	0.2	2066383.0	91.0%	9165.3	0.4%	47402.0	2.1%	97486.0	4.3%	
4	60.0	0.5	40	200.0	1174128.0	90115.8	154439.3	9531.7	0.2	2052565.2	90.4%	9260.0	0.4%	47402.0	2.1%	97486.0	4.3%	
5	60.0	0.5	40	200.1	1174128.0	90115.8	154439.3	9531.7	0.2	2052565.2	90.4%	9260.0	0.4%	47402.0	2.1%	97486.0	4.3%	
0	180.0	0.5	40	161.9	1171500.0	84314.8	153967.0	8773.0	0.1	6464747.8	94.9%	8773.0	0.1%	47460.7	0.7%	97745.0	1.4%	
1	180.0	0.5	40	172.7	1172200.0	85014.8	153983.0	8789.0	0.1	6464731.8	94.9%	8789.0	0.1%	47460.7	0.7%	97745.0	1.4%	
2	180.0	0.5	40	168.9	1171500.0	84314.8	153967.0	8773.0	0.1	6464747.8	94.9%	8773.0	0.1%	47460.7	0.7%	97745.0	1.4%	
3	180.0	0.5	40	172.7	1172200.0	85014.8	153983.0	8789.0	0.1	6464731.8	94.9%	8789.0	0.1%	47460.7	0.7%	97745.0	1.4%	
